date,date_decimal,covid_dummy_0,covid_dummy_2020,covid_dummy_2021,covid_dummy_2022
2015-12-31,2015.75,1.0,0.0,0.0,0.0
2016-03-31,2016.0,1.0,0.0,0.0,0.0
2016-06-30,2016.25,1.0,0.0,0.0,0.0
2016-09-30,2016.5,1.0,0.0,0.0,0.0
2016-12-31,2016.75,1.0,0.0,0.0,0.0
2017-03-31,2017.0,1.0,0.0,0.0,0.0
2017-06-30,2017.25,1.0,0.0,0.0,0.0
2017-09-30,2017.5,1.0,0.0,0.0,0.0
2017-12-31,2017.75,1.0,0.0,0.0,0.0
2018-03-31,2018.0,1.0,0.0,0.0,0.0
2018-06-30,2018.25,1.0,0.0,0.0,0.0
2018-09-30,2018.5,1.0,0.0,0.0,0.0
2018-12-31,2018.75,1.0,0.0,0.0,0.0
2019-03-31,2019.0,1.0,0.0,0.0,0.0
2019-06-30,2019.25,1.0,0.0,0.0,0.0
2019-09-30,2019.5,1.0,0.0,0.0,0.0
2019-12-31,2019.75,1.0,0.0,0.0,0.0
2020-03-31,2020.0,1.0,0.0,0.0,0.0
2020-06-30,2020.25,0.0,1.0,0.0,0.0
2020-09-30,2020.5,0.0,1.0,0.0,0.0
2020-12-31,2020.75,0.0,1.0,0.0,0.0
2021-03-31,2021.0,0.0,0.0,1.0,0.0
2021-06-30,2021.25,0.0,0.0,1.0,0.0
2021-09-30,2021.5,0.0,0.0,1.0,0.0
2021-12-31,2021.75,0.0,0.0,1.0,0.0
2022-03-31,2022.0,0.0,0.0,0.0,1.0
2022-06-30,2022.25,0.0,0.0,0.0,1.0
2022-09-30,2022.5,0.0,0.0,0.0,1.0
2022-12-31,2022.75,0.0,0.0,0.0,1.0
2023-03-31,2023.0,1.0,0.0,0.0,0.0
2023-06-30,2023.25,1.0,0.0,0.0,0.0
2023-09-30,2023.5,1.0,0.0,0.0,0.0
2023-12-31,2023.75,1.0,0.0,0.0,0.0
2024-03-31,2024.0,1.0,0.0,0.0,0.0
2024-06-30,2024.25,1.0,0.0,0.0,0.0
2024-09-30,2024.5,1.0,0.0,0.0,0.0
2024-12-31,2024.75,1.0,0.0,0.0,0.0
2025-03-31,2025.0,1.0,0.0,0.0,0.0
2025-06-30,2025.25,1.0,0.0,0.0,0.0
2025-09-30,2025.5,1.0,0.0,0.0,0.0
2025-12-31,2025.75,1.0,0.0,0.0,0.0
2026-03-31,2026.0,1.0,0.0,0.0,0.0
