date,kind,ffr,t10yr,mortgage,bbb,stock,house,dollar
2018-03-31,quarter,0.0556229362183946,-0.007721414746662,0.108790345517736,0.007825218911853,-0.407293255323986,-0.203103641665853,-0.221446060361522
2018-06-30,quarter,0.06825855271244,-0.0090612376926842,0.130389639504752,0.0321749701279467,-0.442507337664852,-0.204739812504343,-0.110447925787415
2018-09-30,quarter,0.0685335592610018,-0.013677257300711,0.107516813976175,0.0238079411286116,-0.557357589283832,-0.204731707996026,0.0488364802275552
2018-12-31,quarter,0.0775482911311163,-0.0202558078660248,0.120816336612295,0.0570339477833098,-0.145146391025893,-0.189486103223777,0.163071045204868
2019-03-31,quarter,0.0729423470606309,-0.0253029910317438,-0.013332654758963,0.0561319955173103,-0.392919653630593,-0.186217287445966,0.130056084022039
2019-06-30,quarter,0.0518129990228276,-0.0217137358515247,-0.0802046136217485,0.0463329159946092,-0.429764454797686,-0.169986800065454,0.154364737018177
2019-09-30,quarter,0.016390395366228,-0.0112775559871137,-0.144541283913895,0.0035055090229766,-0.386214541882749,-0.144279218320628,0.172911153999461
2019-12-31,quarter,-0.0424244829026437,0.002521706804485,-0.103391114806769,-0.0327398199521217,-0.492161358512542,-0.145173254203181,0.149277627224903
2020-03-31,quarter,-0.070082761714238,0.0120580273083341,-0.157306923844097,-0.0315319490217246,0.0923720368892598,-0.163545306909792,0.183561666745896
2020-06-30,quarter,-0.1661669011765,0.0202703377243674,-0.182028002110545,-0.0282023980496878,-0.284358141454443,-0.157598626017559,0.323063761256005
2020-09-30,quarter,-0.110919921225955,0.0310186597541711,-0.222736090489788,-0.109107721268517,-0.420829810941055,-0.183555079935572,0.111858096449768
2020-12-31,quarter,-0.0829903689078769,0.0403042514230611,-0.182446350220614,-0.150949062232472,-0.663056892255636,-0.281293343074856,-0.0714384593186687
2021-03-31,quarter,-0.057355029714519,0.0452329850507201,-0.068158902713458,-0.181483155154646,-0.71975536620389,-0.372144970268871,-0.178567186968826
2021-06-30,quarter,-0.0489326086439937,0.0444177541323336,-0.0262834903123052,-0.199180181481634,-0.819566886962048,-0.48138671426599,-0.221869924111481
2021-09-30,quarter,-0.0356184411199311,0.0420519901747301,-0.0391414016546072,-0.211144465951022,-0.712855346046669,-0.523714060901584,-0.147158860646779
2021-12-31,quarter,-0.0278657586864497,0.0367475213017253,0.0238115218535281,-0.183406861713473,-0.84732321911934,-0.519359285751568,-0.0429348471069015
2022-03-31,quarter,-0.0141847698956716,0.0209059429532395,0.200032652386664,-0.0760936066532295,-0.58497349031578,-0.582401725031375,0.0093734924839772
2022-06-30,quarter,0.0550930155722556,0.0017262970717191,0.441568075435176,0.0774262002000414,-0.0909070314719719,-0.616620873276721,0.171576129882961
2022-09-30,quarter,0.184430272397101,-0.0182639172718042,0.421822551261024,0.166066644385227,0.0224967332557471,-0.492931173386274,0.360036141409991
2022-12-31,quarter,0.276617956347935,-0.038945156944448,0.49728117780608,0.253976217353605,-0.0624948933710357,-0.32862205959857,0.401535706466025
2023-03-31,quarter,0.281834250022123,-0.0572208089643109,0.303930533544834,0.257841252457203,-0.253680940538017,-0.174728335108997,0.19315521361202
2023-06-30,quarter,0.242462215855914,-0.0701503004207895,0.292951950354305,0.28906608438427,-0.298732898464343,-0.0864189901924007,0.110499970174706
2023-09-30,quarter,0.199540868942259,-0.0740199139745935,0.320062500361202,0.356505986544354,-0.16039159876533,-0.0288112418306561,0.0747204444808051
2023-12-31,quarter,0.153600838263704,-0.0737546903612761,0.265302928971536,0.369060647222753,-0.304360736859714,0.0103289394273025,0.102103512103342
2024-03-31,quarter,0.115406760648003,-0.0701394766297581,0.082265145734134,0.320578904996967,-0.442665183427774,0.0143425617771882,0.0439542984451627
2024-06-30,quarter,0.0860085030408432,-0.0712745117937224,0.112298494528202,0.316405368848599,-0.427839220918417,-0.0209241722142286,0.101829392024298
2024-09-30,quarter,0.0561577660483386,-0.0694614399653513,-0.0489101953823117,0.248835220041397,-0.501000080368741,-0.0244918362844731,0.0931957750299245
2024-12-31,quarter,-0.0229550904409195,-0.058365264053136,0.0295186904208563,0.184605035858306,-0.512884391737384,-0.0319742234527133,0.196467802647942
2025-03-31,quarter,-0.0515881204192605,-0.0471750131976718,0.005056107427289,0.112710921595539,-0.41324823974316,-0.0505190710643668,0.248256904895347
2025-06-30,quarter,-0.0411274405701998,-0.0286811610255837,-0.0211732376946635,0.0297620757068073,-0.651984401777844,-0.0477974805915939,0.02522969620189
2025-09-30,quarter,-0.0334197130232304,-0.0228739539436972,-0.0871903959129988,-0.0303911726974037,-0.757452239072256,-0.022420618221822,-0.0864416780890097
2025-12-31,quarter,-0.0662166842043145,-0.0131379368457403,-0.128853861928615,-0.0720485119816048,-0.697066169212918,-0.0070788802400313,-0.086205489580182
2026-03-31,quarter,-0.0754694970034888,-0.0121873343277756,-0.106157873476641,-0.0609861202102733,-0.504637804199016,0.000764532700379875,-0.164511964920783
2026-06-30,quarter,-0.0565394874600521,-0.0083774744875,-0.0180089708091091,-0.0547696451762114,-0.711347494170746,0.0045496119606569,-0.148441444860816
2026-07-31,official,-0.0515256396255419,-0.0069717596105064,0.016952639928847,-0.0495207055496662,-0.668907837539753,0.0022675166146602,-0.1196255306225
2026-08-03,nowcast,-0.0509823909099746,-0.0066585393110059,0.0184028342032517,-0.0494902144986116,-0.6962950075441011,0.0022675166146602,-0.1177513831985452
2026-08-04,nowcast,-0.0508004483867847,-0.006516958413745,0.0193483576014737,-0.0496759799099187,-0.7382221282636173,0.0022675166146602,-0.117418971074341
2026-08-05,nowcast,-0.0506185058635947,-0.006494680732155,0.0202532756568135,-0.0494759996219058,-0.7370499179667188,0.0022675166146602,-0.1165386551971632
2026-08-06,nowcast,-0.0504365633404047,-0.0066002928403053,0.0215915642204808,-0.0487822895391373,-0.7240967624663867,0.0022675166146602,-0.1152152335216049
2026-08-07,nowcast,-0.0502402331416458,-0.006585647057775,0.022840803517529,-0.0484985055890066,-0.7346989397350553,0.0022675166146602,-0.1142475546049262
2026-08-10,nowcast,-0.0496491022479122,-0.00627257361064,0.0240159550558212,-0.0482676413760832,-0.7230812156287131,0.0022675166146602,-0.1128080392488777
2026-08-11,nowcast,-0.0494520586166676,-0.0061180708814664,0.02509276638557,-0.0483501091712028,-0.7179206596436151,0.0022675166146602,-0.111757452057143
2026-08-12,nowcast,-0.0492550149854231,-0.0060909796925408,0.0259130991754564,-0.0481184231972521,-0.721571267472643,0.0022675166146602,-0.1108638974213912
2026-08-13,nowcast,-0.0490582855584432,-0.0061651277614074,0.0265926144345321,-0.0476150430767642,-0.737731163454114,0.0022675166146602,-0.1098955558205148
2026-08-14,nowcast,-0.0488615561314632,-0.0061261499467471,0.0276438517440096,-0.0473929448912491,-0.7244034497773267,0.0022675166146602,-0.1094342567915682
2026-08-17,nowcast,-0.0482713678505234,-0.0057373797230603,0.0279692945692671,-0.0473330534461443,-0.7253624857925883,0.0022675166146602,-0.1093701560257301
2026-08-18,nowcast,-0.0480746384235434,-0.005632544016994,0.0281821813197397,-0.0473828166409129,-0.7079868306067828,0.0022675166146602,-0.1094165821965013
2026-08-19,nowcast,-0.0478635213210048,-0.005639472034678,0.0279723321887245,-0.0472105547201331,-0.7123526448307788,0.0022675166146602,-0.1096607416981789
2026-08-20,nowcast,-0.0476524042184664,-0.0057207005742024,0.0282115143653918,-0.0466761835290129,-0.6961729099430772,0.0022675166146602,-0.1098725144786745
2026-08-21,nowcast,-0.047441287115928,-0.0056661709528164,0.028693156162547,-0.0465315619043245,-0.7059158434243916,0.0022675166146602,-0.1104499693039721
2026-08-24,nowcast,-0.0468079358083125,-0.005358091504506,0.0286918732540641,-0.0460715322860352,-0.6888258865458069,0.0022675166146602,-0.1095187674428555
2026-08-25,nowcast,-0.0465968187057741,-0.0052635308181135,0.0289621986343684,-0.0460086091509398,-0.6900904697294973,0.0022675166146602,-0.109460255338659
2026-08-26,nowcast,-0.0463857016032356,-0.0052823798853543,0.0293207105832304,-0.0456676875722643,-0.6881091538264806,0.0022675166146602,-0.1089206454758629
2026-08-27,nowcast,-0.0461745845006971,-0.0053653471742454,0.0296378704364277,-0.0450883262503155,-0.7026811610093481,0.0022675166146602,-0.1079351395148172
2026-08-28,nowcast,-0.0459665273151734,-0.0053200798882985,0.030149826985585,-0.0448606537897113,-0.689394702065495,0.0035090565538011,-0.1066706723522001
